produto,preco_custo,preco_venda,margem_venda,estoque,estoque_minimo,codigo_de_barra
Flauta de bisel,5.13,12.0,20,3,5,76416059
AGUA BUONA VITA 5L,6.59,12.0,82.09,22,8,46583280
BALLY MAÇÃ VERDE 2L,7.49,12.5,66.89,12,8,45864936
BALLY MORANGO & PÊSSEGO,7.49,12.5,66.89,13,10,59854550
MONSTER ULTRA WATERMELON 473ML,7.39,11.9,61.03,31,6,21259047
MONSTER ABSOLUT ZERO 473ML,7.39,11.9,61.03,29,6,27864440
MONSTER PACÍFIC PUNCH 473ML,7.39,11.9,61.03,26,4,92205661
GUARAVITON 500ML,1.99,4.0,101.01,32,81,36492398
BALLY MELANCIA 2L,7.49,12.5,66.89,11,15,29608850
SUCO PONCHITO MARACUJA 450ML,1.79,3.0,67.6,48,12,92142902
SUCO MAGUARY GOIABA 1L,4.79,7.5,56.58,37,3,16318681
SUCO MAGUARY ABACAXI 1L,4.79,7.5,56.58,38,3,52879777
SUCO DEL VALLE LATA UVA 290ML,3.29,5.5,67.17,39,6,14482441
SUCO DEL VALLE LATA GOIABA 290ML,3.3,5.5,66.67,41,6,48863339
SUCO DEL VALLE LATA PESSÊGO 290ML,3.3,5.5,66.67,42,6,12395830
SUCO DEL VALLE LATA LARANJA 290ML,3.3,5.5,66.67,40,6,50178927
SUCO DEL VALLE LATA MARACUJÁ 290ML,3.3,5.5,66.67,43,6,49539342
SUCO DEL VALLE FRUIT UVA 450ML,2.89,4.5,55.71,44,5,47516486
SUCO DEL VALLE LARANJA 450ML,2.89,4.5,55.71,45,6,28471805
VODKA PINACLE 1L,0.0,120.0,0.0,52,1,61914668
VODKA WYBAROWA 1L,0.0,90.0,0.0,53,2,83278575
VODKA ABSOLUT ELYX 750ML,0.0,215.0,0.0,54,1,76348396
VODKA ABSOLUT CITRON 750ml,0.0,135.0,0.0,55,1,38310653
VODKA ABSOLUT RASPBERRY 750ML,0.0,135.0,0.0,56,1,97394257
VODKA ABSOLUT 1L,0.0,120.0,0.0,57,2,20058861
VODKA SKYY 750ml,0.0,37.0,0.0,58,2,31779553
VODKA BURLONE 950ML,0.0,50.0,0.0,59,2,46410129
SUCO PONCHITO FRUTAS CITRICAS 450ML,1.79,3.0,67.6,46,14,51619448
RED BULL MELANCIA 250ML,7.29,11.9,63.24,3,16,30450865
RED BULL TRADICIONAL 250ML,6.89,10.0,45.14,2,16,75288189
AGUA DE COCO lL,5.89,8.9,51.1,33,4,88515949
RED BULL SUGAR FREE 250ML,7.29,11.9,63.24,5,8,81979609
GORDON'S GIN LONDON DRY,0.0,90.0,0.0,60,2,42319301
RED BULL PITAYA 250ML,7.29,11.9,63.24,6,16,67186250
RED BULL MORANGO & PÊSSEGO 250ML,7.29,11.9,63.24,7,21,91395790
RED BULL TROPICAL 250ML,7.29,11.9,63.24,4,24,52205145
BALLY TRADICIONAL 2L,7.49,12.5,66.89,8,11,71897239
BALLY ABACAXI COM HORTELÃ 2L,7.49,12.5,66.89,9,5,34102607
SUCO PONCHITO LARANJA COM ACEROLA 450ML,1.79,3.0,67.6,47,10,36327589
BALLY TROPICAL 2L,7.49,12.5,66.89,10,8,61738791
GATORADE BLUE BERRY,5.19,6.5,25.24,14,5,55257696
GATORADE UVA,5.19,6.5,25.24,15,6,69001814
GATORADE LARANJA,5.19,6.5,25.24,16,6,74962509
GATORADE MORANGO & MARACUJÁ,5.19,6.5,25.24,17,6,85810566
GATORADE LIMÃO,5.19,6.5,25.24,18,6,61136652
MONSTER TRADICIONAL 473ML,6.99,10.0,43.06,24,7,24798826
MONSTER ULTRA 473ML,7.39,11.9,61.03,25,6,48299951
MONSTER MANGO LOUCO 473ML,7.39,11.9,61.03,27,3,24252425
MONSTER PIPELINE PUNCH 473ML,7.39,11.9,61.03,30,6,32014631
COCA-COLA 350ML,2.89,4.5,55.71,49,64,94658595
VODKA CIROC REDBERRY 750ML,0.0,215.0,0.0,51,1,27814219
AGUA BUONA VITA 500ml,0.69,2.0,189.86,20,40,42369611
"AGUA FRESCCA 1,5L",1.79,3.5,95.53,19,21,87853600
AGUA COM GAS 510ML,1.19,2.5,110.08,21,40,25373881
AGUA TONICA ZERO 350ML,3.0,4.5,50.0,62,6,48267823
AGUA TONICA 350ml,2.89,4.0,38.41,23,11,75477837
GROSELHA G'NUTRE 900ML,5.9,9.0,52.54,34,3,19420468
SUCO MAGUARY MORANGO 1L,4.79,7.5,56.58,35,4,38264729
SUCO MAGUARY UVA 1l,4.79,7.5,56.58,36,3,43921979
VODKA CIROC 750ML,0.0,215.0,0.0,50,1,88076161863
